en.APP.INFO_DRAWER.TITLE,Details,Detalles
en_5.ADF_TASK_LIST.PROPERTIES.PRIORITY,Priority,Prioridad
en_5.ADF_TASK_LIST.PROPERTIES.DUE_DATE,Due Date,Fecha de vencimiento
en_5.ADF_TASK_LIST.PROPERTIES.DUE_DATE_DEFAULT,No date,Sin fecha
en_5.ADF_TASK_LIST.PROPERTIES.STATUS,Status,Estado
en_5.ADF_TASK_LIST.PROPERTIES.CATEGORY,Category,Categoría
en_5.ADF_TASK_LIST.PROPERTIES.CATEGORY_DEFAULT,No category,Sin categoría
en_5.ADF_TASK_LIST.PROPERTIES.PARENT_NAME,Parent name,Nombre del elemento primario
en_5.ADF_TASK_LIST.PROPERTIES.PARENT_NAME_DEFAULT,No parent,Sin elemento primario
en_5.ADF_TASK_LIST.PROPERTIES.CREATED_BY,Created By,Creado por
en_5.ADF_TASK_LIST.PROPERTIES.CREATED,Created,Creado
en_5.ADF_TASK_LIST.PROPERTIES.END_DATE,End date,Fecha de fin
en_5.ADF_TASK_LIST.PROPERTIES.ID,ID,ID
en_5.ADF_TASK_LIST.PROPERTIES.DESCRIPTION,Description,Descripción
en_5.ADF_TASK_LIST.PROPERTIES.DESCRIPTION_DEFAULT,No description,Sin descripción
en_5.ADF_TASK_LIST.PROPERTIES.FORM_NAME,Form Name,Nombre del formulario
en_5.ADF_TASK_LIST.PROPERTIES.FORM_NAME_DEFAULT,No form,No hay formulario
en_5.ADF_TASK_LIST.MENU_ACTIONS.VIEW_CONTENT,View,Ver
en_5.ADF_TASK_LIST.MENU_ACTIONS.REMOVE_CONTENT,Remove,Eliminar
en_5.ADF_TASK_LIST.MENU_ACTIONS.DOWNLOAD_CONTENT,Download,Descargar
en_5.ADF_TASK_LIST.MENU_ACTIONS.DOWNLOAD_AUDIT,Download Audit,Descargar auditoría
en_5.ADF_TASK_LIST.DETAILS.LABELS.INFO_DRAWER_TITLE,Activities,Actividades
en_5.ADF_TASK_LIST.DETAILS.LABELS.INFO_DRAWER_TAB_ACTIVITY_TITLE,Activity,Actividad
en_5.ADF_TASK_LIST.DETAILS.LABELS.INFO_DRAWER_TAB_DETAILS_TITLE,Details,Detalles
en_5.ADF_TASK_LIST.DETAILS.LABELS.ASSIGNEE,Assignee,Usuario asignado
en_5.ADF_TASK_LIST.DETAILS.LABELS.DUE,Due,Vencimiento
en_5.ADF_TASK_LIST.DETAILS.LABELS.FORM,Form,Formulario
en_5.ADF_TASK_LIST.DETAILS.LABELS.PEOPLE,People this task is shared with,Personas con las que se comparte esta tarea
en_5.ADF_TASK_LIST.DETAILS.LABELS.COMMENTS,Comments,Comentarios
en_5.ADF_TASK_LIST.DETAILS.LABELS.CHECKLIST,Checklist,Lista de comprobación
en_5.ADF_TASK_LIST.DETAILS.LABELS.INVOLVED_PEOPLE,People Involved,Personas participantes
en_5.ADF_TASK_LIST.DETAILS.LABELS.ADD_PEOPLE,Add people and groups,Añadir personas y grupos
en_5.ADF_TASK_LIST.DETAILS.LABELS.ADD_ASSIGNEE,Add new assignee,Añadir nuevo asignado
en_5.ADF_TASK_LIST.DETAILS.BUTTON.COMPLETE,Complete,Completar
en_5.ADF_TASK_LIST.DETAILS.BUTTON.CLAIM,Claim,Pedir
en_5.ADF_TASK_LIST.DETAILS.BUTTON.UNCLAIM,Release,Liberar
en_5.ADF_TASK_LIST.DETAILS.BUTTON.DRAG-ATTACHMENT,Drop files to upload,Arrastrar ficheros a cargar
en_5.ADF_TASK_LIST.DETAILS.BUTTON.UPLOAD-ATTACHMENT,Upload Attachment,Cargar adjunto
en_5.ADF_TASK_LIST.DETAILS.MESSAGES.NONE,No task details found,No se han encontrado detalles de la tarea
en_5.ADF_TASK_LIST.DETAILS.MESSAGES.CLAIM,Click Claim to work on this task,Haga clic en Pedir para trabajar en esta tarea
en_5.ADF_TASK_LIST.DETAILS.FORM.NONE,No form,No hay formulario
en_5.ADF_TASK_LIST.DETAILS.DUE.NONE,No due date,No hay fecha de vencimiento
en_5.ADF_TASK_LIST.DETAILS.ASSIGNEE.NONE,No assignee,Sin asignado
en_5.ADF_TASK_LIST.DETAILS.PEOPLE.NONE,Nobody involved,Ningún participante
en_5.ADF_TASK_LIST.DETAILS.CHECKLIST.NONE,No checklist,No hay lista de comprobación
en_5.ADF_TASK_LIST.DETAILS.CHECKLIST.DIALOG.TITLE,New Check,Nueva comprobación
en_5.ADF_TASK_LIST.DETAILS.CHECKLIST.DIALOG.CANCEL-BUTTON,Cancel,Cancelar
en_5.ADF_TASK_LIST.DETAILS.CHECKLIST.DIALOG.ADD-BUTTON,Add Checklist,Añadir lista de comprobación
en_5.ADF_TASK_LIST.DETAILS.CHECKLIST.DIALOG.PLACEHOLDER,Name,Nombre
en_5.ADF_TASK_LIST.DETAILS.ERROR.TITLE,Couldn't complete the action,No se ha podido finalizar la acción
en_5.ADF_TASK_LIST.DETAILS.ERROR.DESCRIPTION,Try again or check that you have access.,Vuelva a intentarlo o compruebe que tiene acceso.
en_5.ADF_TASK_LIST.DETAILS.ERROR.CLOSE,Close,Cerrar
en_5.ADF_TASK_LIST.FILTERS.MESSAGES.NONE,No task filter selected,No se ha seleccionado ningún filtro de tareas
en_5.ADF_TASK_LIST.START_TASK.DEFAULT_NAME,My Default Task,Mi tarea predeterminada
en_5.ADF_TASK_LIST.START_TASK.BUTTON,CREATE TASK,Crear tarea
en_5.ADF_TASK_LIST.START_TASK.FORM.TITLE,Start Task,Iniciar tarea
en_5.ADF_TASK_LIST.START_TASK.FORM.LABEL.NONE,None,Ninguna
en_5.ADF_TASK_LIST.START_TASK.FORM.LABEL.NAME,Name,Nombre
en_5.ADF_TASK_LIST.START_TASK.FORM.LABEL.DESCRIPTION,Description,Descripción
en_5.ADF_TASK_LIST.START_TASK.FORM.LABEL.ATTACHFORM,Attach Form,Adjuntar formulario
en_5.ADF_TASK_LIST.START_TASK.FORM.LABEL.ASSIGNEE,Assignee,Usuario asignado
en_5.ADF_TASK_LIST.START_TASK.FORM.LABEL.FORM,Form,Formulario
en_5.ADF_TASK_LIST.START_TASK.FORM.LABEL.DATE,Choose Date,Elegir fecha
en_5.ADF_TASK_LIST.START_TASK.FORM.ACTION.START,Start,Comenzar
en_5.ADF_TASK_LIST.START_TASK.FORM.ACTION.CANCEL,Cancel,Cancelar
en_5.ADF_TASK_LIST.START_TASK.FORM.ERROR.REQUIRED,Field required,Campo obligatorio
en_5.ADF_TASK_LIST.START_TASK.FORM.ERROR.DATE,Date format DD/MM/YYYY,Formato de fecha DD/MM/AAAA
en_5.ADF_TASK_LIST.START_TASK.FORM.ERROR.MAXIMUM_LENGTH,"Length exceeded, {{characters}} characters max.","Longitud excedida, {{characters}} caracteres como máx."
en_5.ADF_TASK_LIST.START_TASK.FORM.ERROR.MESSAGE,Enter a different value,Introducir un valor diferente
en_5.ADF_TASK_LIST.PEOPLE.ASSIGNEE,Assignee,Usuario asignado
en_5.ADF_TASK_LIST.PEOPLE.DIALOG_CLOSE,CLOSE,Cerrar
en_5.ADF_TASK_LIST.PEOPLE.ADD_USER,ADD,Añadir
en_5.ADF_TASK_LIST.PEOPLE.ADD_ASSIGNEE,ASSIGN,Asignar
en_5.ADF_TASK_LIST.PEOPLE.SEARCH_USER,Search user,Buscar usuario
en_5.ADF_TASK_LIST.PEOPLE.SEARCH.NO_USERS,Nobody found to involve,No se ha encontrado a nadie para participar
en_5.ADF_TASK_LIST.ATTACHMENT.EMPTY.HEADER,This list is empty,Esta lista está vacía
en_5.ADF_TASK_LIST.ATTACHMENT.EMPTY.DRAG-AND-DROP.TITLE,Drag and drop,Arrastrar y soltar
en_5.ADF_TASK_LIST.ATTACHMENT.EMPTY.DRAG-AND-DROP.SUBTITLE,to upload files,para cargar ficheros
en_5.ADF_TASK_LIST.ATTACHMENT.EMPTY-LIST.HEADER,No files are available,No hay ficheros disponibles
en_5.ADF_TASK_LIST.STANDALONE_TASK.NO_FORM_MESSAGE,No forms attached,No se han adjuntado formularios
en_5.ADF_TASK_LIST.STANDALONE_TASK.COMPLETE_TASK_MESSAGE,Task {{taskName}} completed,Tarea {{taskName}} finalizada
en_5.ADF_TASK_LIST.STANDALONE_TASK.COMPLETE_TASK_SUB_MESSAGE,No forms to be added,No se han añadido formularios
en_5.ADF_TASK_LIST.ATTACH_FORM.SELECT_FORM,Select Form To Attach,Seleccionar formulario para adjuntar
en_5.ADF_TASK_LIST.ATTACH_FORM.REMOVE_FORM,Remove Form,Eliminar formulario
en_5.ADF_TASK_LIST.ATTACH_FORM.SELECT_OPTION,Select an option,Seleccionar una opción
en_5.ADF_PROCESS_LIST.LIST.TITLE,No Processes Found,No se han encontrado procesos
en_5.ADF_PROCESS_LIST.LIST.SUBTITLE,Create a new process that you want to easily find later,Cree un nuevo proceso que desee encontrar fácilmente después
en_5.ADF_PROCESS_LIST.LIST.SUMMARY,{{total}} process instances found,Se han encontrado {{total}} instancias de procesos
en_5.ADF_PROCESS_LIST.LIST.ERROR,Couldn't load processes instances. Try again or share the following message with your IT Team: {{errorMessage}},No se han podido cargar las instancias de procesos. Vuelva a intentarlo o comparta el mensaje siguiente con el equipo de TI: {{errorMessage}}
en_5.ADF_PROCESS_LIST.FILTERS.MESSAGES.NONE,No process instance filter selected.,No se ha seleccionado ningún filtro de instancias.
en_5.ADF_PROCESS_LIST.PROPERTIES.PROCESS_NAME,Process,Proceso
en_5.ADF_PROCESS_LIST.PROPERTIES.NAME,Name,Nombre
en_5.ADF_PROCESS_LIST.PROPERTIES.THUMBNAIL,Thumbnail,Miniatura
en_5.ADF_PROCESS_LIST.PROPERTIES.STATUS,Status,Estado
en_5.ADF_PROCESS_LIST.PROPERTIES.END_DATE,End Date,Fecha de fin
en_5.ADF_PROCESS_LIST.PROPERTIES.END_DATE_DEFAULT,No date,Sin fecha
en_5.ADF_PROCESS_LIST.PROPERTIES.CATEGORY,Category,Categoría
en_5.ADF_PROCESS_LIST.PROPERTIES.CATEGORY_DEFAULT,No category,Sin categoría
en_5.ADF_PROCESS_LIST.PROPERTIES.CREATED_BY,Created By,Creado por
en_5.ADF_PROCESS_LIST.PROPERTIES.CREATED_BY_DEFAULT,No assignee,Sin asignado
en_5.ADF_PROCESS_LIST.PROPERTIES.CREATED,Created,Creado
en_5.ADF_PROCESS_LIST.PROPERTIES.BUSINESS_KEY,Business key,Clave de negocio
en_5.ADF_PROCESS_LIST.PROPERTIES.BUSINESS_KEY_DEFAULT,None,Ninguna
en_5.ADF_PROCESS_LIST.PROPERTIES.DESCRIPTION,Description,Descripción
en_5.ADF_PROCESS_LIST.PROPERTIES.DESCRIPTION_DEFAULT,No description,Sin descripción
en_5.ADF_PROCESS_LIST.PROPERTIES.ID,ID,ID
en_5.ADF_PROCESS_LIST.MENU_ACTIONS.VIEW_CONTENT,View,Ver
en_5.ADF_PROCESS_LIST.MENU_ACTIONS.REMOVE_CONTENT,Remove,Eliminar
en_5.ADF_PROCESS_LIST.MENU_ACTIONS.DOWNLOAD_CONTENT,Download,Descargar
en_5.ADF_PROCESS_LIST.MENU_ACTIONS.DOWNLOAD_AUDIT,Download audit,Descargar auditoría
en_5.ADF_PROCESS_LIST.MENU_ACTIONS.VIEW_TASK,View Task,Ver tarea
en_5.ADF_PROCESS_LIST.DETAILS.LABELS.STARTED_BY,Started by,Iniciado por
en_5.ADF_PROCESS_LIST.DETAILS.LABELS.STARTED,Started,Iniciado
en_5.ADF_PROCESS_LIST.DETAILS.LABELS.ENDED,Ended,Finalizado
en_5.ADF_PROCESS_LIST.DETAILS.LABELS.COMMENTS,Comments,Comentarios
en_5.ADF_PROCESS_LIST.DETAILS.LABELS.START_FORM,Start Form,Iniciar formulario
en_5.ADF_PROCESS_LIST.DETAILS.LABELS.TASKS_ACTIVE,Active Tasks,Tareas activas
en_5.ADF_PROCESS_LIST.DETAILS.LABELS.TASKS_COMPLETED,Completed Tasks,Tareas completadas
en_5.ADF_PROCESS_LIST.DETAILS.LABELS.TASK_SUBTITLE,"Assigned to {{user}}, created {{created}}","Asignado a {{user}}, creado {{created}}"
en_5.ADF_PROCESS_LIST.DETAILS.BUTTON.CANCEL,Cancel Process,Cancelar proceso
en_5.ADF_PROCESS_LIST.DETAILS.BUTTON.CLOSE,Close,Cerrar
en_5.ADF_PROCESS_LIST.DETAILS.BUTTON.SHOW_DIAGRAM,Show Diagram,Mostrar diagrama
en_5.ADF_PROCESS_LIST.DETAILS.BUTTON.DRAG-ATTACHMENT,Drop files to upload,Arrastrar ficheros a cargar
en_5.ADF_PROCESS_LIST.DETAILS.BUTTON.UPLOAD-ATTACHMENT,Upload Attachment,Cargar adjunto
en_5.ADF_PROCESS_LIST.DETAILS.MESSAGES.NONE,No process details found,No se han encontrado detalles del proceso
en_5.ADF_PROCESS_LIST.DETAILS.TASKS.NO_ACTIVE,No currently active tasks,No hay tareas activas en estos momentos
en_5.ADF_PROCESS_LIST.DETAILS.TASKS.NO_COMPLETED,No tasks completed yet,No hay tareas finalizadas todavía
en_5.ADF_PROCESS_LIST.DETAILS.TASKS.TASK_DETAILS,Task details,Detalles de la tarea
en_5.ADF_PROCESS_LIST.DETAILS.TASKS.TASK_CLOSE,Close,Cerrar
en_5.ADF_PROCESS_LIST.DETAILS.COMMENTS.ADD,Add a comment,Añadir comentario
en_5.ADF_PROCESS_LIST.DETAILS.COMMENTS.HEADER,Comments ({{ count }}),Comentarios ({{ count }})
en_5.ADF_PROCESS_LIST.DETAILS.COMMENTS.NONE,No comments,No hay comentarios
en_5.ADF_PROCESS_LIST.DETAILS.COMMENTS.BUTTON.ADD,Add a comment,Añadir comentario
en_5.ADF_PROCESS_LIST.DETAILS.COMMENTS.ADD_DIALOG.TITLE,New comment,Nuevo comentario
en_5.ADF_PROCESS_LIST.DETAILS.COMMENTS.ADD_DIALOG.LABEL.MESSAGE,Message,Mensaje
en_5.ADF_PROCESS_LIST.DETAILS.COMMENTS.ADD_DIALOG.BUTTON.ADD,Add Comment,Añadir comentario
en_5.ADF_PROCESS_LIST.DETAILS.COMMENTS.ADD_DIALOG.BUTTON.CANCEL,Cancel,Cancelar
en_5.ADF_PROCESS_LIST.DETAILS.ADD_DIALOG.TITLE,Set process variable,Establecer variable del proceso
en_5.ADF_PROCESS_LIST.DETAILS.ADD_DIALOG.LABEL.NAME,Name,Nombre
en_5.ADF_PROCESS_LIST.DETAILS.ADD_DIALOG.LABEL.VALUE,Value,Valor
en_5.ADF_PROCESS_LIST.DETAILS.ADD_DIALOG.LABEL.SCOPE,Scope,Ámbito
en_5.ADF_PROCESS_LIST.DETAILS.EDIT_DIALOG.TITLE,Edit process variable,Editar variable del proceso
en_5.ADF_PROCESS_LIST.DETAILS.ERROR_DIALOG.TITLE,Couldn't complete the action,No se ha podido finalizar la acción
en_5.ADF_PROCESS_LIST.DETAILS.ERROR_DIALOG.DESCRIPTION,"You might not have the required access level, check with your IT Team.",Puede que no tenga el nivel de acceso requerido; consúltelo con el equipo de TI.
en_5.ADF_PROCESS_LIST.START_PROCESS.BUTTON,Start Process,Iniciar proceso
en_5.ADF_PROCESS_LIST.START_PROCESS.NO_PROCESS_DEFINITIONS,You can't start a process as there are no process definitions available,No puede iniciar un proceso porque no hay definiciones de procesos disponibles
en_5.ADF_PROCESS_LIST.START_PROCESS.FORM.TITLE,Start Process,Iniciar proceso
en_5.ADF_PROCESS_LIST.START_PROCESS.FORM.LABEL.TYPE,Select Process,Seleccionar proceso
en_5.ADF_PROCESS_LIST.START_PROCESS.FORM.LABEL.NAME,Process Name,Nombre del proceso
en_5.ADF_PROCESS_LIST.START_PROCESS.FORM.TYPE_PLACEHOLDER,Choose one,Elegir una
en_5.ADF_PROCESS_LIST.START_PROCESS.FORM.ACTION.START,Start Process,Iniciar proceso
en_5.ADF_PROCESS_LIST.START_PROCESS.FORM.ACTION.CANCEL,Cancel,Cancelar
en_5.ADF_PROCESS_LIST.START_PROCESS.ERROR.LOAD_PROCESS_DEFS,"Couldn't load process definitions, check you have access.",No se han podido cargar las definiciones de procesos; compruebe que tiene acceso.
en_5.ADF_PROCESS_LIST.START_PROCESS.ERROR.START,"Couldn't start new process instance, check you have access.",No se ha podido iniciar una nueva instancia de proceso; compruebe que tiene acceso.
en_5.ADF_PROCESS_LIST.START_PROCESS.ERROR.MAXIMUM_LENGTH,"Length exceeded, {{characters}} characters max.","Longitud excedida, {{characters}} caracteres como máx."
en_5.ADF_PROCESS_LIST.START_PROCESS.ERROR.SPACE_VALIDATOR,Cannot begin or end with a space.,No puede comenzar ni terminar con un espacio.
en_5.ADF_PROCESS_LIST.START_PROCESS.ERROR.PROCESS_NAME_REQUIRED,Process name is required.,Se requiere el nombre del proceso.
en_5.ADF_PROCESS_LIST.PROCESS-ATTACHMENT.EMPTY.HEADER,This list is empty,Esta lista está vacía
en_5.ADF_PROCESS_LIST.PROCESS-ATTACHMENT.EMPTY.DRAG-AND-DROP.TITLE,Drag and drop,Arrastrar y soltar
en_5.ADF_PROCESS_LIST.PROCESS-ATTACHMENT.EMPTY.DRAG-AND-DROP.SUBTITLE,to upload files,para cargar ficheros
en_5.ADF_PROCESS_LIST.PROCESS-ATTACHMENT.EMPTY-LIST.HEADER,No files are available,No hay ficheros disponibles
en_5.ADF_PROCESS_LIST.PROCESS-ATTACHMENT.COLUMNS.NAME,Name,Nombre
en_5.ADF_PROCESS_LIST.PROCESS-ATTACHMENT.COLUMNS.CREATED-ON,Created on,Creado
en_5.ADF_SIDEBAR_ACTION_MENU.BUTTON.CREATE,CREATE,Crear
en_5.ADF_SIDEBAR_ACTION_MENU.BUTTON.NEW_TASK,New Task,Nueva tarea
en_5.ADF_SIDEBAR_ACTION_MENU.BUTTON.NEW_PROCESS,New Process,Nuevo proceso
en_5.APP.DIALOG.START,Continue,Continuar
en_5.APP.DIALOG.TITLE,Select a process app,Seleccionar una aplicación
en_5.APP.DIALOG.LIST,Process App list,Lista de aplicaciones
en_5.APP.DIALOG.ERROR,There is a problem connecting to Process Services,Hay un problema con la conexión a Process Services
en_5.ATTACH-FILE.DIALOG.LOGIN,Sign into '{{ ecmHost }}',Iniciar sesión en '{{ ecmHost }}'
en_5.ATTACH-FILE.ACTIONS.LOGIN,Login,Iniciar sesión
en_5.ATTACH-FILE.ACTIONS.CANCEL,Cancel,Cancelar
en_5.ATTACH-FILE.ACTIONS.CHOOSE,Select,Seleccionar
en_5.ATTACH-FILE.ACTIONS.CHOOSE_ITEM,Select content to attach from '{{ name }}',Seleccione el contenido que adjuntar de '{{ name }}'
en_5.ADF_TASK_FORM.EMPTY_FORM.SUBTITLE,Attach a form that can be viewed later,Adjunte un formulario que pueda verse más tarde
en_5.ADF_TASK_FORM.EMPTY_FORM.COMPLETE-TASK-MESSAGE,Task {{taskName}} completed,Tarea {{taskName}} finalizada
en_5.ADF_TASK_FORM.EMPTY_FORM.COMPLETE-TASK-SUB-MESSAGE,No forms to be added,No se han añadido formularios
en_5.ADF_TASK_FORM.EMPTY_FORM.BUTTONS.COMPLETE,COMPLETE,Completar
en_5.ADF_TASK_FORM.EMPTY_FORM.BUTTONS.CANCEL,CANCEL,Cancelar
en_5.ADF_TASK_FORM.COMPLETED_TASK.TITLE,Task {{taskName}} completed,Tarea {{taskName}} finalizada
en_5.ADF_TASK_FORM.COMPLETED_TASK.SUBTITLE,No forms to be added,No se han añadido formularios
en_2.ADF_VERSION_LIST.ACTIONS.RESTORE,Restore,Restaurar
en_2.ADF_VERSION_LIST.ACTIONS.DELETE,Delete,Eliminar
en_2.ADF_VERSION_LIST.ACTIONS.DOWNLOAD,Download,Descargar
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.TITLE,Upload new version,Cargar nueva versión
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.TOOLTIP,Restriction: you must upload a file with the same name to create a new version of it,Restricción: debe cargar un fichero con el mismo nombre para crear una nueva versión del mismo
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.MAJOR,major changes (2.0),cambios mayores (2.0)
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.MINOR,minor changes (1.1),cambios menores (1.1)
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.COMMENT,Leave a comment,Dejar un comentario
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.ADD,Add New Version,Añadir nueva versión
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.CANCEL,Cancel,Cancelar
en_2.ADF_VERSION_LIST.CONFIRM_DELETE.TITLE,Delete version,Eliminar versión
en_2.ADF_VERSION_LIST.CONFIRM_DELETE.MESSAGE,Deleted file versions cannot be restored. Continue?,Las versiones de ficheros eliminados no pueden restaurarse. ¿Desea continuar?
en_2.ADF_VERSION_LIST.CONFIRM_DELETE.YES_LABEL,Yes,Sí
en_2.ADF_VERSION_LIST.CONFIRM_DELETE.NO_LABEL,No,No
en_2.ADF_DROPDOWN.LOADING,Loading,Cargando
en_2.ADF_CONFIRM_DIALOG.TITLE,Confirm,Confirmar
en_2.ADF_CONFIRM_DIALOG.ACTION,Do you want to proceed?,¿Desea continuar?
en_2.ADF_CONFIRM_DIALOG.YES_LABEL,Yes,Sí
en_2.ADF_CONFIRM_DIALOG.NO_LABEL,No,No
en_2.ADF-DOCUMENT-LIST.EMPTY.HEADER,This folder is empty,Esta carpeta está vacía
en_2.ADF-DOCUMENT-LIST.NO_PERMISSION,You don't have permission to view this file or folder.,No tiene permiso para ver este fichero o carpeta.
en_2.ADF-DOCUMENT-LIST.LAYOUT.CREATED,Created,Creado
en_2.ADF-DOCUMENT-LIST.LAYOUT.CREATED_BY,Created by,Creado por
en_2.ADF-DOCUMENT-LIST.LAYOUT.THUMBNAIL,Thumbnail,Miniatura
en_2.ADF-DOCUMENT-LIST.LAYOUT.NAME,Name,Nombre
en_2.ADF-DOCUMENT-LIST.LAYOUT.LOCATION,Location,Ubicación
en_2.ADF-DOCUMENT-LIST.LAYOUT.SIZE,Size,Tamaño
en_2.ADF-DOCUMENT-LIST.LAYOUT.DELETED_ON,Deleted,Eliminado
en_2.ADF-DOCUMENT-LIST.LAYOUT.DELETED_BY,Deleted by,Eliminado por
en_2.ADF-DOCUMENT-LIST.LAYOUT.STATUS,Status,Estado
en_2.ADF-DOCUMENT-LIST.LAYOUT.MODIFIED_ON,Modified,Modificado
en_2.ADF-DOCUMENT-LIST.LAYOUT.MODIFIED_BY,Modified by,Modificado por
en_2.ADF-DOCUMENT-LIST.LAYOUT.SHARED_BY,Shared by,Compartido por
en_2.ADF-DOCUMENT-LIST.LAYOUT.LOAD_MORE,Load more,Cargar más
en_2.ADF-DOCUMENT-LIST.MENU_ACTIONS.VIEW,View,Ver
en_2.ADF-DOCUMENT-LIST.MENU_ACTIONS.REMOVE,Remove,Eliminar
en_2.ADF-DOCUMENT-LIST.MENU_ACTIONS.DOWNLOAD,Download,Descargar
en_2.ALFRESCO_DOCUMENT_LIST.BUTTON.ACTION_CREATE,Create,Crear
en_2.ALFRESCO_DOCUMENT_LIST.BUTTON.ACTION_NEW_FOLDER,New Folder,Nueva carpeta
en_2.ALFRESCO_DOCUMENT_LIST.BUTTON.CREATE,Create,Crear
en_2.ALFRESCO_DOCUMENT_LIST.BUTTON.CANCEL,Cancel,Cancelar
en_2.DROPDOWN.PLACEHOLDER_LABEL,Site List,Lista de sitios
en_2.DROPDOWN.MY_FILES_OPTION,My files,Mis ficheros
en_2.NODE_SELECTOR.CANCEL,Cancel,Cancelar
en_2.NODE_SELECTOR.CHOOSE,Select,Seleccionar
en_2.NODE_SELECTOR.CHOOSE_ITEM,Select content to attach from '{{ name }}',Seleccione el contenido que adjuntar de '{{ name }}'
en_2.NODE_SELECTOR.COPY,Copy,Copiar
en_2.NODE_SELECTOR.COPY_ITEM,Copy '{{ name }}' to,Copiar '{{ name }}' a
en_2.NODE_SELECTOR.MOVE,Move,Mover
en_2.NODE_SELECTOR.MOVE_ITEM,Move '{{ name }}' to,Mover '{{ name }}' a
en_2.NODE_SELECTOR.NO_RESULTS,No results found,Ningún resultado encontrado
en_2.NODE_SELECTOR.SEARCH,Search,Buscar
en_2.NODE_SELECTOR.SEARCH_RESULTS,Search results,Resultados de la búsqueda
en_2.NODE_SELECTOR.SELECT_LOCATION,Select Location,Seleccionar ubicación
en_2.OPERATION.SUCCESS.CONTENT.COPY,Copy successful,Copia satisfactoria
en_2.OPERATION.SUCCESS.CONTENT.MOVE,Move successful,Traslado satisfactorio
en_2.OPERATION.SUCCESS.FOLDER.COPY,Copy successful,Copia satisfactoria
en_2.OPERATION.SUCCESS.FOLDER.MOVE,Move successful,Traslado satisfactorio
en_2.OPERATION.ERROR.CONFLICT,"This name is already in use, try a different name.",Este nombre ya está en uso; pruebe con un nombre diferente.
en_2.OPERATION.ERROR.UNKNOWN,The action was unsuccessful. Try again or contact your IT Team.,La acción no ha sido satisfactoria. Vuelva a intentarlo o póngase en contacto con el equipo de TI.
en_2.OPERATION.ERROR.PERMISSION,You don't have access to do this.,No tiene acceso para hacer esto.
en_2.TAG.LABEL.NEWTAG,New Tag,Nueva etiqueta
en_2.TAG.MESSAGES.EXIST,Tag already exists,Ya existe esta etiqueta
en_2.TAG.BUTTON.ADD,Add Tag,Añadir etiqueta
en_2.ADF_FILE_UPLOAD.BUTTON.MINIMIZE,Minimize,Minimizar
en_2.ADF_FILE_UPLOAD.BUTTON.MAXIMIZE,Maximize,Maximizar
en_2.ADF_FILE_UPLOAD.BUTTON.CLOSE,Close,Cerrar
en_2.ADF_FILE_UPLOAD.BUTTON.CANCEL_ALL,Cancel uploads,Cancelar cargas
en_2.ADF_FILE_UPLOAD.BUTTON.CANCEL_FILE,Cancel upload,Cancelar carga
en_2.ADF_FILE_UPLOAD.BUTTON.REMOVE_FILE,Remove uploaded file,Eliminar fichero cargado
en_2.ADF_FILE_UPLOAD.STATUS.FILE_CANCELED_STATUS,Canceled,Cancelado
en_2.ADF_FILE_UPLOAD.STATUS.FILE_DONE_STATUS,Uploaded,Cargado
en_2.ADF_FILE_UPLOAD.CONFIRMATION.BUTTON.CANCEL,Yes,Sí
en_2.ADF_FILE_UPLOAD.CONFIRMATION.BUTTON.CONTINUE,No,No
en_2.ADF_FILE_UPLOAD.CONFIRMATION.MESSAGE.TITLE,Cancel Upload,Cancelar carga
en_2.ADF_FILE_UPLOAD.CONFIRMATION.MESSAGE.TEXT,Stop uploading and remove files already uploaded.,Detener la carga y eliminar los ficheros ya cargados.
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.VERSION,File version {{ version }},Versión del fichero {{ version }}
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.DIALOG,Upload list,Lista de carga
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.DIALOG_MAXIMIZE,Maximize upload dialog,Maximizar diálogo de carga
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.DIALOG_MINIMIZE,Minimize upload dialog,Minimizar diálogo de carga
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.DIALOG_CLOSE,Close upload dialog,Cerrar diálogo de carga
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.CANCEL_ALL,Cancel all uploading files,Cancelar todos los ficheros en carga
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.REMOVE_FILE,Remove uploaded file {{ file }},Quitar fichero cargado {{ file }}
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.CANCEL_FILE,Cancel scheduled file {{ file }},Cancelar fichero programado {{ file }}
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.CANCEL_FILE_UPLOAD,Cancel file upload {{ file }},Cancelar carga de fichero {{ file }}
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.UPLOAD_FILE_ERROR,Upload error {{ error }},Error de carga {{ error }}
